pulse,mean,min,max,trial
0,5.333333333333333,5,6,1
1,3.0,3,3,2
2,2.0,2,2,3
3,1.3333333333333333,1,2,4
4,0.3333333333333333,0,1,5
5,0.6666666666666666,0,1,6
6,0.3333333333333333,0,1,7
7,0.0,0,0,8
8,0.3333333333333333,0,1,9
9,0.0,0,0,10
10,0.0,0,0,11
11,0.0,0,0,12
