rest_s,block,initial,early,late
10,1,8.333333333333334,5.555555555555555,0.1111111111111111
10,2,8.333333333333334,5.444444444444445,0.1111111111111111
10,3,8.333333333333334,5.444444444444445,0.1111111111111111
2,1,8.333333333333334,5.555555555555555,0.1111111111111111
2,2,5.666666666666667,3.5555555555555554,0.0
2,3,5.333333333333333,3.4444444444444446,0.0
