rest_ms,aBN1,F,relative_initial,rest_s
500.0,2.0,0.0,0.23611111111111108,0.5
1000.0,4.0,0.3095238095238095,0.48148148148148145,1.0
2000.0,6.0,0.626984126984127,0.7222222222222222,2.0
5000.0,7.666666666666667,0.8888888888888888,0.9259259259259259,5.0
