pulse,aBN1,trial
0,11.0,1
1,8.0,2
2,5.0,3
3,3.0,4
4,1.6666666666666667,5
5,1.6666666666666667,6
6,1.3333333333333333,7
7,1.3333333333333333,8
8,1.6666666666666667,9
9,1.0,10
10,1.6666666666666667,11
11,1.3333333333333333,12
