pulse,aBN1,trial
0,8.333333333333334,1
1,5.333333333333333,2
2,3.0,3
3,2.0,4
4,1.3333333333333333,5
5,0.3333333333333333,6
6,0.3333333333333333,7
7,0.3333333333333333,8
8,0.0,9
9,0.3333333333333333,10
10,0.0,11
11,0.0,12
