trial,mean,low,high
1,8.2,8.0,9.0
2,7.2,6.0,8.0
3,6.6,6.0,7.0
4,6.4,6.0,7.0
5,6.6,6.0,7.0
6,6.2,5.0,7.0
7,6.4,5.0,7.0
8,6.4,5.0,7.0
9,6.4,5.0,7.0
10,6.6,6.0,7.0
11,6.6,6.0,7.0
12,6.6,6.0,7.0
