stage,mean,minus,plus
0,9.8,0.8000000000000007,0.1999999999999993
1,9.8,0.8000000000000007,0.1999999999999993
2,9.8,0.8000000000000007,0.1999999999999993
3,9.8,0.8000000000000007,0.1999999999999993
