rest_s,aBN1,F,relative_initial
0.5,2.0,0.0,0.2361111111111111
1.0,4.0,0.30952380952380953,0.48148148148148145
2.0,6.0,0.626984126984127,0.7222222222222222
5.0,7.666666666666667,0.8888888888888888,0.9259259259259259
