seed,kind,case,phase,block,pulse,rest_ms,label,input_hz,onset_s,duration_ms,input_events,stimulus_spikes,sensory_A,total_spikes,noninput_spikes,resource_before,resource_after,event_file,aBN1,aDN1,aDN2
3701,response,h3,train,3,4,0.0,A,150.0,33.6,300.0,2194,2160,2160,2493,333,0.5490094046177268,0.476168403309211,events_00066.parquet,0,0,0
3701,response,h3,train,3,5,0.0,A,150.0,34.1,300.0,2194,2160,2160,2486,326,0.5260175705646531,0.4615394602001804,events_00068.parquet,0,0,0
3701,response,h3,train,3,6,0.0,A,150.0,34.6,300.0,2194,2160,2160,2478,318,0.5127807554532829,0.4530957818597881,events_00070.parquet,1,0,0
3701,response,h3,train,3,7,0.0,A,150.0,35.1,300.0,2194,2160,2160,2471,311,0.5051405993450362,0.4482099592470547,events_00072.parquet,0,0,0
3701,response,h3,train,3,8,0.0,A,150.0,35.6,300.0,2194,2160,2160,2463,303,0.5007197242271488,0.4453759054037947,events_00074.parquet,0,0,0
3701,response,h3,train,3,9,0.0,A,150.0,36.1,300.0,2194,2160,2160,2475,315,0.4981553662650385,0.4437280507064514,events_00076.parquet,0,0,0
3701,response,h3,train,3,10,0.0,A,150.0,36.6,300.0,2194,2160,2160,2472,312,0.496664325675396,0.4427676657360241,events_00078.parquet,0,0,0
3701,response,h3,train,3,11,0.0,A,150.0,37.1,300.0,2194,2160,2160,2467,307,0.495795333418434,0.4422066667920282,events_00080.parquet,0,0,0
3701,response,fast24,train,1,12,0.0,A,150.0,6.0,300.0,2194,2160,2160,2469,309,0.4952931270280012,0.4418817521378727,events_00082.parquet,0,0,0
3701,response,fast24,train,1,13,0.0,A,150.0,6.5,300.0,2194,2160,2160,2467,307,0.494993725645679,0.4416876175504727,events_00084.parquet,0,0,0
3701,response,fast24,train,1,14,0.0,A,150.0,7.0,300.0,2194,2160,2160,2465,305,0.4948180654068645,0.4415734782277201,events_00086.parquet,0,0,0
3701,response,fast24,train,1,15,0.0,A,150.0,7.5,300.0,2194,2160,2160,2477,317,0.4947147878767688,0.4415062340579904,events_00088.parquet,0,0,0
3701,response,fast24,train,1,16,0.0,A,150.0,8.0,300.0,2194,2160,2160,2461,301,0.4946539428358525,0.4414665390855934,events_00090.parquet,0,0,0
3701,response,fast24,train,1,17,0.0,A,150.0,8.5,300.0,2194,2160,2160,2461,301,0.4946180253395196,0.4414430615314928,events_00092.parquet,0,0,0
3701,response,fast24,train,1,18,0.0,A,150.0,9.0,300.0,2194,2160,2160,2461,301,0.4945967819700854,0.4414291497703743,events_00094.parquet,0,0,0
3701,response,fast24,train,1,19,0.0,A,150.0,9.5,300.0,2194,2160,2160,2461,301,0.4945841940880746,0.4414208913063214,events_00096.parquet,0,0,0
3701,response,fast24,train,1,20,0.0,A,150.0,10.0,300.0,2194,2160,2160,2461,301,0.494576721520784,0.4414159801816179,events_00098.parquet,0,0,0
3701,response,fast24,train,1,21,0.0,A,150.0,10.5,300.0,2194,2160,2160,2461,301,0.4945722777513875,0.4414130546527415,events_00100.parquet,0,0,0
3701,response,fast24,train,1,22,0.0,A,150.0,11.0,300.0,2194,2160,2160,2461,301,0.4945696306233927,0.4414113090417495,events_00102.parquet,0,0,0
3701,response,fast24,train,1,23,0.0,A,150.0,11.5,300.0,2194,2160,2160,2461,301,0.4945680511292499,0.4414102657908303,events_00104.parquet,0,0,0
3701,response,fast24,recovery,0,-1,200.0,A,150.0,12.0,300.0,2194,2160,2160,2461,301,0.4945671071567817,0.4414096413266002,events_00106.parquet,0,0,0
3701,response,fast24,recovery,0,-1,500.0,A,150.0,12.3,300.0,2194,2160,2160,2518,358,0.5649698775822506,0.4858903870514257,events_00108.parquet,1,0,0
3701,response,fast24,recovery,0,-1,1000.0,A,150.0,12.8,300.0,2194,2160,2160,2571,411,0.6611982000014077,0.5466878175386866,events_00110.parquet,3,0,0
3701,response,fast24,recovery,0,-1,2000.0,A,150.0,13.8,300.0,2194,2160,2160,2690,530,0.7945063207350261,0.6309124096331659,events_00112.parquet,6,0,0
3701,response,fast24,recovery,0,-1,5000.0,A,150.0,16.8,300.0,2194,2160,2160,2867,707,0.9541481624361164,0.731774749635345,events_00114.parquet,8,0,2
3701,response,slow12,train,1,0,0.0,A,150.0,0.0,300.0,2194,2160,2160,2899,739,1.0,0.7607441199508813,events_00115.parquet,8,1,2
3701,response,slow12,train,1,1,0.0,A,150.0,1.0,300.0,2194,2160,2160,2731,571,0.831399230934217,0.654602891485789,events_00117.parquet,6,0,0
3701,response,slow12,train,1,2,0.0,A,150.0,2.0,300.0,2194,2160,2160,2655,495,0.7566027714067534,0.6073876899987846,events_00119.parquet,4,0,0
3701,response,slow12,train,1,3,0.0,A,150.0,3.0,300.0,2194,2160,2160,2637,477,0.7233307812651922,0.5863284672208768,events_00121.parquet,4,0,0
3701,response,slow12,train,1,4,0.0,A,150.0,4.0,300.0,2194,2160,2160,2626,466,0.7084905977948677,0.57691066254231,events_00123.parquet,4,0,0
3701,response,slow12,train,1,5,0.0,A,150.0,5.0,300.0,2194,2160,2160,2615,455,0.7018539830065844,0.5726880055189952,events_00125.parquet,3,0,0
3701,response,slow12,train,1,6,0.0,A,150.0,6.0,300.0,2194,2160,2160,2628,468,0.6988783268952873,0.5707898544222636,events_00127.parquet,4,0,0
3701,response,slow12,train,1,7,0.0,A,150.0,7.0,300.0,2194,2160,2160,2623,463,0.6975407224249341,0.5699344666509815,events_00129.parquet,4,0,0
3701,response,slow12,train,1,8,0.0,A,150.0,8.0,300.0,2194,2160,2160,2613,453,0.6969379408504205,0.569548046574784,events_00131.parquet,3,0,0
3701,response,slow12,train,1,9,0.0,A,150.0,9.0,300.0,2194,2160,2160,2615,455,0.6966656352250957,0.5693730632184769,events_00133.parquet,3,0,0
3701,response,slow12,train,1,10,0.0,A,150.0,10.0,300.0,2194,2160,2160,2615,455,0.6965423265380072,0.5692936396443405,events_00135.parquet,3,0,0
3701,response,slow12,train,1,11,0.0,A,150.0,11.0,300.0,2194,2160,2160,2615,455,0.6964863576912703,0.5692575076144937,events_00137.parquet,3,0,0
3701,response,slow12,recovery,0,-1,200.0,A,150.0,11.5,300.0,2194,2160,2160,2546,386,0.6102480753515243,0.5148492896846739,events_00139.parquet,2,0,0
3701,response,slow12,recovery,0,-1,500.0,A,150.0,11.8,300.0,2194,2160,2160,2593,433,0.6645374096280391,0.5491004781790711,events_00141.parquet,3,0,0
3701,response,slow12,recovery,0,-1,1000.0,A,150.0,12.3,300.0,2194,2160,2160,2636,476,0.7387414719271549,0.5959158860069117,events_00143.parquet,4,0,0
3701,response,slow12,recovery,0,-1,2000.0,A,150.0,13.3,300.0,2194,2160,2160,2757,597,0.8415386926124258,0.6607707424775772,events_00145.parquet,6,0,0
3701,response,slow12,recovery,0,-1,5000.0,A,150.0,16.3,300.0,2194,2160,2160,2865,705,0.9646425031052808,0.7384370442246835,events_00147.parquet,8,1,2
3701,response,strong12,train,1,0,0.0,A,200.0,0.0,300.0,2881,2815,2815,3852,1037,1.0,0.6993119020495643,events_00148.parquet,11,3,4
