model,seed,interval_ms,phase,pulse,rest_ms,onset_s,input_events,sensory_spikes,total_spikes,resource_before,resource_after,aBN1,aBN1_latency_ms,aBN1_v_before_mV,aBN1_g_before_mV,aDN1,aDN1_latency_ms,aDN1_v_before_mV,aDN1_g_before_mV,aDN2,aDN2_latency_ms,aDN2_v_before_mV,aDN2_g_before_mV
static,1701,500.0,train,0,0.0,0.0,2125,2100,3040,1.0,1.0,10,19.5,-52.0,0.0,2,76.30000000000001,-52.0,0.0,3,66.0,-52.0,0.0
static,1701,500.0,train,1,0.0,0.5,2125,2100,3040,1.0,1.0,10,19.50000000000007,-51.99999743586427,1.9493638705256096e-25,2,76.30000000000004,-51.99999820735794,8.112215395688334e-26,3,66.00000000000006,-51.99999730075,6.717954331303032e-26
static,1701,500.0,train,2,0.0,1.0,2125,2100,3040,1.0,1.0,10,19.50000000000007,-51.99999743586427,1.9493638705256096e-25,2,76.30000000000004,-51.99999820735794,8.112215395688334e-26,3,66.00000000000006,-51.99999730075,6.717954331303032e-26
static,1701,500.0,train,3,0.0,1.5,2125,2100,3040,1.0,1.0,10,19.50000000000007,-51.99999743586427,1.9493638705256096e-25,2,76.30000000000004,-51.99999820735794,8.112215395688334e-26,3,66.00000000000006,-51.99999730075,6.717954331303032e-26
static,1701,500.0,train,4,0.0,2.0,2125,2100,3040,1.0,1.0,10,19.50000000000029,-51.99999743586427,1.9493638705256096e-25,2,76.30000000000025,-51.99999820735794,8.112215395688334e-26,3,66.00000000000028,-51.99999730075,6.717954331303032e-26
static,1701,500.0,train,5,0.0,2.5,2125,2100,3040,1.0,1.0,10,19.50000000000029,-51.99999743586427,1.9493638705256096e-25,2,76.30000000000025,-51.99999820735794,8.112215395688334e-26,3,66.00000000000028,-51.99999730075,6.717954331303032e-26
static,1701,500.0,train,6,0.0,3.0,2125,2100,3040,1.0,1.0,10,19.50000000000029,-51.99999743586427,1.9493638705256096e-25,2,76.30000000000025,-51.99999820735794,8.112215395688334e-26,3,66.00000000000028,-51.99999730075,6.717954331303032e-26
static,1701,500.0,train,7,0.0,3.5,2125,2100,3040,1.0,1.0,10,19.50000000000029,-51.99999743586427,1.9493638705256096e-25,2,76.30000000000025,-51.99999820735794,8.112215395688334e-26,3,66.00000000000028,-51.99999730075,6.717954331303032e-26
static,1701,500.0,train,8,0.0,4.0,2125,2100,3040,1.0,1.0,10,19.49999999999985,-51.99999743586427,1.9493638705256096e-25,2,76.29999999999981,-51.99999820735794,8.112215395688334e-26,3,65.99999999999983,-51.99999730075,6.717954331303032e-26
static,1701,500.0,train,9,0.0,4.5,2125,2100,3040,1.0,1.0,10,19.49999999999985,-51.99999743586427,1.9493638705256096e-25,2,76.29999999999981,-51.99999820735794,8.112215395688334e-26,3,65.99999999999983,-51.99999730075,6.717954331303032e-26
static,1701,500.0,train,10,0.0,5.0,2125,2100,3040,1.0,1.0,10,19.49999999999985,-51.99999743586427,1.9493638705256096e-25,2,76.29999999999981,-51.99999820735794,8.112215395688334e-26,3,65.99999999999983,-51.99999730075,6.717954331303032e-26
