condition,static_initial,std_initial,std_late,probe_1s,probe_5s
新种子对照,10.333333333333334,8.333333333333334,0.6666666666666666,3.0,8.0
判别 A,27.0,18.666666666666668,5.555555555555556,6.0,17.0
判别 B,19.666666666666668,13.0,2.3333333333333335,4.666666666666667,11.333333333333334
