pulse,actual,low,high,resource,accumulator,trial
0,18.666666666666668,18,19,18.67438955222705,16.699179450882706,1
1,9.0,8,10,8.246497517189228,7.252193120200474,2
2,5.666666666666667,5,7,5.6328580106087776,2.067577095900859,3
3,5.0,4,7,4.977763061487938,0.0,4
4,5.333333333333333,4,7,4.813563425523502,0.0,5
5,5.333333333333333,4,6,4.772405879544056,0.0,6
6,5.666666666666667,4,7,4.762089292044774,0.0,7
7,5.666666666666667,4,7,4.759503271682746,0.0,8
