pulse,actual,low,high,resource,accumulator,trial
0,13.0,12,15,12.213366487464834,12.54924361699583,1
1,5.666666666666667,5,7,5.258414563311203,5.449940728559935,2
2,4.333333333333333,4,5,3.1403643455413714,1.5537606952303946,3
3,2.6666666666666665,2,4,2.4953348551258627,0.0,4
4,2.3333333333333335,1,4,2.2988974968255427,0.0,5
5,2.3333333333333335,1,4,2.2390742755956894,0.0,6
6,2.3333333333333335,1,4,2.220855604438056,0.0,7
7,2.3333333333333335,1,4,2.215307242395472,0.0,8
