seed,kind,case,phase,block,pulse,rest_ms,label,input_hz,onset_s,duration_ms,input_events,stimulus_spikes,sensory_A,total_spikes,noninput_spikes,resource_before,resource_after,event_file,aBN1,aDN1,aDN2
3702,response,frequency24,train,1,5,0.0,A,150.0,3.75,300.0,2065,2030,2030,2390,360,0.6415115520543709,0.5429074665956084,events_00065.parquet,3,0,0
3702,response,frequency24,train,1,6,0.0,A,150.0,4.5,300.0,2065,2030,2030,2403,373,0.635004198602781,0.5386839911296804,events_00067.parquet,3,0,0
3702,response,frequency24,train,1,7,0.0,A,150.0,5.25,300.0,2065,2030,2030,2389,359,0.631631684943705,0.5364892729867605,events_00069.parquet,3,0,0
3702,response,frequency24,train,1,8,0.0,A,150.0,6.0,300.0,2065,2030,2030,2388,358,0.6298791669109782,0.5353457751758015,events_00071.parquet,3,0,0
3702,response,frequency24,train,1,9,0.0,A,150.0,6.75,300.0,2065,2030,2030,2392,362,0.6289660653628115,0.5347484283300388,events_00073.parquet,3,0,0
3702,response,frequency24,train,1,10,0.0,A,150.0,7.5,300.0,2065,2030,2030,2371,341,0.6284890742182453,0.5344355771304572,events_00075.parquet,3,0,0
3702,response,frequency24,train,1,11,0.0,A,150.0,8.25,300.0,2065,2030,2030,2372,342,0.6282392574613211,0.534271309122876,events_00077.parquet,3,0,0
3702,response,frequency24,train,1,12,0.0,A,150.0,9.0,300.0,2065,2030,2030,2374,344,0.6281080867930441,0.5341848412912719,events_00079.parquet,3,0,0
3702,response,frequency24,train,1,13,0.0,A,150.0,9.75,300.0,2065,2030,2030,2374,344,0.6280390408271072,0.5341392141012034,events_00081.parquet,3,0,0
3702,response,frequency24,train,1,14,0.0,A,150.0,10.5,300.0,2065,2030,2030,2374,344,0.6280026067758211,0.5341150794864064,events_00083.parquet,3,0,0
3702,response,frequency24,train,1,15,0.0,A,150.0,11.25,300.0,2065,2030,2030,2374,344,0.627983334894472,0.5341022832198556,events_00085.parquet,3,0,0
3702,response,frequency24,train,1,16,0.0,A,150.0,12.0,300.0,2065,2030,2030,2374,344,0.6279731168680918,0.5340954828869816,events_00087.parquet,3,0,0
3702,response,frequency24,train,1,17,0.0,A,150.0,12.75,300.0,2065,2030,2030,2374,344,0.6279676866919988,0.534091860808432,events_00089.parquet,3,0,0
3702,response,frequency24,train,1,18,0.0,A,150.0,13.5,300.0,2065,2030,2030,2374,344,0.6279647944035314,0.5340899273164488,events_00091.parquet,3,0,0
3702,response,frequency24,train,1,19,0.0,A,150.0,14.25,300.0,2065,2030,2030,2374,344,0.6279632504788241,0.5340888929865847,events_00093.parquet,3,0,0
3702,response,frequency24,train,1,20,0.0,A,150.0,15.0,300.0,2065,2030,2030,2374,344,0.627962424549652,0.5340883385105787,events_00095.parquet,3,0,0
3702,response,frequency24,train,1,21,0.0,A,150.0,15.75,300.0,2065,2030,2030,2374,344,0.6279619817915683,0.5340880406672464,events_00097.parquet,3,0,0
3702,response,frequency24,train,1,22,0.0,A,150.0,16.5,300.0,2065,2030,2030,2374,344,0.6279617439588367,0.534087880361685,events_00099.parquet,3,0,0
3702,response,frequency24,train,1,23,0.0,A,150.0,17.25,300.0,2065,2030,2030,2374,344,0.6279616159522461,0.5340877939168843,events_00101.parquet,3,0,0
3702,response,frequency24,recovery,0,-1,500.0,A,150.0,18.05,300.0,2065,2030,2030,2384,354,0.6371472090599437,0.5399859225010984,events_00103.parquet,3,0,0
3702,response,frequency24,recovery,0,-1,1000.0,A,150.0,18.55,300.0,2065,2030,2030,2461,431,0.7174099622762394,0.5915231748437509,events_00105.parquet,4,0,0
3702,response,frequency24,recovery,0,-1,2000.0,A,150.0,19.55,300.0,2065,2030,2030,2539,509,0.8286004779911895,0.6629193509887229,events_00107.parquet,6,0,1
3702,response,frequency24,recovery,0,-1,5000.0,A,150.0,22.55,300.0,2065,2030,2030,2674,644,0.9617555972048096,0.7484191464060954,events_00109.parquet,7,0,2
3703,response,frequency24,train,1,0,0.0,A,150.0,0.0,300.0,2076,2049,2049,2723,674,1.0,0.7732700135986965,events_00110.parquet,8,1,3
3703,response,frequency24,train,1,1,0.0,A,150.0,0.75,300.0,2076,2049,2049,2551,502,0.8189524285794662,0.6575219881386907,events_00112.parquet,5,0,0
3703,response,frequency24,train,1,2,0.0,A,150.0,1.5,300.0,2076,2049,2049,2481,432,0.7265257529602781,0.5982339190864941,events_00114.parquet,4,0,0
3703,response,frequency24,train,1,3,0.0,A,150.0,2.25,300.0,2076,2049,2049,2455,406,0.6791832682431733,0.5677641031726706,events_00116.parquet,3,0,0
3703,response,frequency24,train,1,4,0.0,A,150.0,3.0,300.0,2076,2049,2049,2432,383,0.6548526260533727,0.5520526373228445,events_00118.parquet,3,0,0
3703,response,frequency24,train,1,5,0.0,A,150.0,3.75,300.0,2076,2049,2049,2432,383,0.6423067657518025,0.5439243455573701,events_00120.parquet,3,0,0
3703,response,frequency24,train,1,6,0.0,A,150.0,4.5,300.0,2076,2049,2049,2422,373,0.6358161929462629,0.5397053914820485,events_00122.parquet,1,0,0
3703,response,frequency24,train,1,7,0.0,A,150.0,5.25,300.0,2076,2049,2049,2410,361,0.6324472896909178,0.5375084600429548,events_00124.parquet,1,0,0
3703,response,frequency24,train,1,8,0.0,A,150.0,6.0,300.0,2076,2049,2049,2414,365,0.6306930043052991,0.5363607983193268,events_00126.parquet,1,0,0
3703,response,frequency24,train,1,9,0.0,A,150.0,6.75,300.0,2076,2049,2049,2412,363,0.6297765778053327,0.5357593850741832,events_00128.parquet,1,0,0
